45,2020-01-02,20:50,3,Гедзь Валентин,Демченко Владислав,3,1,1,0,9,11,11,8,11,5,11,9,0,0
46,2020-01-02,08:30,4,Кучер Давид,Горелов Владислав,3,1,1,0,13,11,4,11,11,8,11,9,0,0
47,2020-01-02,08:30,5,Балакирев Максим,Комаров Александр,2,3,0,1,11,5,10,12,6,11,11,5,10,12
48,2020-01-02,09:05,4,Бонищук Тарас,Перетятько Андрей,0,3,0,1,9,11,8,11,9,11,0,0,0,0
49,2020-01-02,09:05,5,Малеев Юрий,Гайнюк Владимир,0,3,0,1,11,13,4,11,6,11,0,0,0,0
50,2020-01-02,09:40,4,Горелов Владислав,Гайнюк Владимир,3,2,1,0,11,8,11,8,5,11,7,11,11,9
51,2020-01-02,09:40,5,Перетятько Андрей,Малеев Юрий,3,0,1,0,11,3,11,6,11,8,0,0,0,0
52,2020-01-02,10:15,4,Комаров Александр,Бонищук Тарас,0,3,0,1,7,11,11,13,6,11,0,0,0,0
53,2020-01-02,10:15,5,Кучер Давид,Балакирев Максим,2,3,0,1,11,8,3,11,6,11,12,10,5,11
54,2020-01-02,10:50,4,Балакирев Максим,Горелов Владислав,0,3,0,1,9,11,8,11,5,11,0,0,0,0
55,2020-01-02,10:50,5,Бонищук Тарас,Кучер Давид,3,2,1,0,11,8,5,11,11,8,6,11,15,13
56,2020-01-02,11:25,4,Малеев Юрий,Комаров Александр,0,3,0,1,1,11,6,11,8,11,0,0,0,0
57,2020-01-02,11:25,5,Гайнюк Владимир,Перетятько Андрей,3,2,1,0,11,5,6,11,11,8,11,13,11,7
58,2020-01-02,12:00,4,Горелов Владислав,Перетятько Андрей,1,3,0,1,11,7,8,11,8,11,9,11,0,0
59,2020-01-02,12:00,5,Комаров Александр,Гайнюк Владимир,1,3,0,1,4,11,11,9,9,11,6,11,0,0
60,2020-01-02,12:35,4,Кучер Давид,Малеев Юрий,3,2,1,0,12,14,9,11,11,8,11,7,12,10
